id,user_id,transaction_type,amount,description,related_id,created_at
70813981-874d-49d1-99fb-cf4d91bc74a3,9990af8a-c389-4970-9dfa-04a1ef0e2b3e,spend,-10,Avatar purchase: t-rex-3d,7551c24f-25bc-4274-abf9-81e52349474f,Sun Sep 21 2025 14:19:02 GMT+0000 (Coordinated Universal Time)
cecda844-ac35-4913-8098-ddb74d78aceb,9990af8a-c389-4970-9dfa-04a1ef0e2b3e,spend,-25,Purchased card back: Dot,,Sun Sep 21 2025 14:35:44 GMT+0000 (Coordinated Universal Time)
7552ca29-2852-4d06-b35a-4feb03467b4b,9990af8a-c389-4970-9dfa-04a1ef0e2b3e,spend,-50,Purchased card back: Rare Prism,,Sun Sep 21 2025 15:36:38 GMT+0000 (Coordinated Universal Time)
1d2c114c-e1b4-4462-8734-fb5b71ef110b,9990af8a-c389-4970-9dfa-04a1ef0e2b3e,spend,-50,Purchased card back: Rare Storm,,Sun Sep 21 2025 15:54:17 GMT+0000 (Coordinated Universal Time)
c8ef395b-5e51-495d-b294-d5c83fc2353f,9990af8a-c389-4970-9dfa-04a1ef0e2b3e,spend,-50,Purchased card back: Minimal Blue,,Sun Sep 21 2025 15:54:29 GMT+0000 (Coordinated Universal Time)
b159a6dd-abb1-42b3-b38b-9a6c63fb258e,9990af8a-c389-4970-9dfa-04a1ef0e2b3e,spend,-100,Purchased card back: Super Vortex,,Sun Sep 21 2025 15:54:39 GMT+0000 (Coordinated Universal Time)
2dbb1ab9-cabf-40da-ba5c-97fb1d371a31,9990af8a-c389-4970-9dfa-04a1ef0e2b3e,spend,-25,Purchased card back: Common Spiral,,Sun Sep 21 2025 16:02:58 GMT+0000 (Coordinated Universal Time)
58583960-cf7a-4f22-8f33-619f54ff1020,9990af8a-c389-4970-9dfa-04a1ef0e2b3e,spend,-50,Purchased card back: Rare Flow,,Sun Sep 21 2025 16:03:06 GMT+0000 (Coordinated Universal Time)
9c24547a-7489-435e-910f-409b8308501f,9990af8a-c389-4970-9dfa-04a1ef0e2b3e,spend,-25,Purchased card back: Heart,,Sun Sep 21 2025 16:27:38 GMT+0000 (Coordinated Universal Time)
d750270b-dfdf-4d2f-9789-701e289a6ff2,9990af8a-c389-4970-9dfa-04a1ef0e2b3e,spend,-25,Purchased card back: Spade,,Sun Sep 21 2025 16:28:10 GMT+0000 (Coordinated Universal Time)
1408bc1b-c66a-4ff5-b328-40c31e8c7bdd,9990af8a-c389-4970-9dfa-04a1ef0e2b3e,spend,-25,Purchased card back: Club,,Sun Sep 21 2025 16:36:21 GMT+0000 (Coordinated Universal Time)
4b3c8899-b294-460d-98dc-faeacbacffaa,9990af8a-c389-4970-9dfa-04a1ef0e2b3e,spend,-25,Purchased card back: Diamond,,Sun Sep 21 2025 16:38:25 GMT+0000 (Coordinated Universal Time)
baa5238e-07bf-4c84-8e04-dd465bd6c619,a04f1552-7132-48f2-a2c7-5cf91bf16582,spend,-25,Purchased card back: Heart,,Sun Sep 21 2025 16:46:46 GMT+0000 (Coordinated Universal Time)
e7fb4cc9-933f-493b-9486-61b4035c5876,a04f1552-7132-48f2-a2c7-5cf91bf16582,spend,-10,Avatar purchase: teddy-bear,b446c674-f941-48fe-beb2-c3b1b5479fa0,Sun Sep 21 2025 17:35:13 GMT+0000 (Coordinated Universal Time)
dc7b88fe-188b-45e4-b3bb-b12210746362,9990af8a-c389-4970-9dfa-04a1ef0e2b3e,spend,-25,Purchased card back: Baby angel,,Sun Sep 21 2025 19:17:40 GMT+0000 (Coordinated Universal Time)
aacc8a9c-8236-4f0c-85d6-c3c9cbd6130c,9990af8a-c389-4970-9dfa-04a1ef0e2b3e,spend,-25,Purchased card back: Candy,,Sun Sep 21 2025 19:36:34 GMT+0000 (Coordinated Universal Time)
4e551c09-985e-4041-b898-bd99214bc6cd,9990af8a-c389-4970-9dfa-04a1ef0e2b3e,spend,-25,Purchased card back: Bear,,Sun Sep 21 2025 19:55:58 GMT+0000 (Coordinated Universal Time)
e44ce301-6082-4753-b7e2-ae1b00ab1da0,9990af8a-c389-4970-9dfa-04a1ef0e2b3e,spend,-25,Purchased card back: Ninja,,Sun Sep 21 2025 19:56:05 GMT+0000 (Coordinated Universal Time)
890e875f-ecc7-413d-a337-6e687486d5d7,9990af8a-c389-4970-9dfa-04a1ef0e2b3e,spend,-25,Purchased card back: Artist,,Sun Sep 21 2025 19:56:09 GMT+0000 (Coordinated Universal Time)
673db737-51a8-4a06-9ca3-746723968fa5,9990af8a-c389-4970-9dfa-04a1ef0e2b3e,spend,-25,Purchased card back: T-rex,,Sun Sep 21 2025 19:56:12 GMT+0000 (Coordinated Universal Time)
7e1335e4-704e-46b9-8105-2007ce4d4d26,9990af8a-c389-4970-9dfa-04a1ef0e2b3e,spend,-25,Purchased card back: Alien,,Sun Sep 21 2025 19:56:14 GMT+0000 (Coordinated Universal Time)
0a709ef7-4478-4faa-bb26-18316c636e4a,9990af8a-c389-4970-9dfa-04a1ef0e2b3e,spend,-25,Purchased card back: Dragon,,Sun Sep 21 2025 19:56:17 GMT+0000 (Coordinated Universal Time)
d71f0f75-e6e5-4f35-a6a3-7ab8845a21e5,9990af8a-c389-4970-9dfa-04a1ef0e2b3e,spend,-25,Purchased card back: Dragon,,Sun Sep 21 2025 20:18:24 GMT+0000 (Coordinated Universal Time)
a5f34322-1972-439c-b8b5-315df15cc9a6,9990af8a-c389-4970-9dfa-04a1ef0e2b3e,spend,-25,Purchased card back: Heart,,Sun Sep 21 2025 20:23:58 GMT+0000 (Coordinated Universal Time)
82dc2bf5-4ba4-4d1b-acc5-d1bda447ef1b,9990af8a-c389-4970-9dfa-04a1ef0e2b3e,spend,-25,Purchased card back: Alien,,Sun Sep 21 2025 20:46:56 GMT+0000 (Coordinated Universal Time)
5ed4e073-6eac-41f7-8e33-422c5b5deb46,c68e6ec2-d7db-4e32-80cf-d6c4291b273c,spend,-25,Purchased card back: Diamond,,Sun Sep 21 2025 21:24:37 GMT+0000 (Coordinated Universal Time)
252d53e9-a145-44a7-8c7d-a3a294d9c4ca,c68e6ec2-d7db-4e32-80cf-d6c4291b273c,spend,-25,Purchased card back: Heart,,Sun Sep 21 2025 21:24:48 GMT+0000 (Coordinated Universal Time)
33cec424-03e6-460c-8849-3797877261ad,9990af8a-c389-4970-9dfa-04a1ef0e2b3e,spend,-25,Purchased card back: Baby angel,,Mon Sep 22 2025 12:48:48 GMT+0000 (Coordinated Universal Time)
a47b550b-1f51-46b7-aa07-16e383111c23,9990af8a-c389-4970-9dfa-04a1ef0e2b3e,spend,-25,Purchased card back: Ninja,,Mon Sep 22 2025 12:48:51 GMT+0000 (Coordinated Universal Time)
5e83fad2-1565-4f42-becc-60c707e8859e,9990af8a-c389-4970-9dfa-04a1ef0e2b3e,spend,-25,Purchased card back: T-rex,,Mon Sep 22 2025 12:48:54 GMT+0000 (Coordinated Universal Time)
8abbd535-6fd1-4ba2-9b73-8621c5c325fb,9990af8a-c389-4970-9dfa-04a1ef0e2b3e,spend,-25,Purchased card back: Artist,,Mon Sep 22 2025 12:48:57 GMT+0000 (Coordinated Universal Time)
d0940850-98d7-48a6-a72a-6fe864f79c62,9990af8a-c389-4970-9dfa-04a1ef0e2b3e,spend,-25,Purchased card back: Dragon,,Mon Sep 22 2025 12:49:02 GMT+0000 (Coordinated Universal Time)
bfeda4c4-c38e-4f77-9f03-9426e537e299,9990af8a-c389-4970-9dfa-04a1ef0e2b3e,spend,-25,Purchased card back: Bear,,Mon Sep 22 2025 12:49:04 GMT+0000 (Coordinated Universal Time)
5ffdf758-2a3b-4ddc-9a1e-697f392c4a15,9990af8a-c389-4970-9dfa-04a1ef0e2b3e,spend,-25,Purchased card back: Candy,,Mon Sep 22 2025 12:49:06 GMT+0000 (Coordinated Universal Time)
2e06966d-7449-4e42-9873-ae254f1aa128,9990af8a-c389-4970-9dfa-04a1ef0e2b3e,spend,-25,Purchased card back: Teddy Bear,,Mon Sep 22 2025 13:37:09 GMT+0000 (Coordinated Universal Time)
9a630807-ca33-496e-bd2c-76adb0b47a7d,9990af8a-c389-4970-9dfa-04a1ef0e2b3e,spend,-25,Purchased card back: Dino,,Mon Sep 22 2025 13:54:41 GMT+0000 (Coordinated Universal Time)
7b095fae-bf99-4e70-8f98-9ec099ec320d,9990af8a-c389-4970-9dfa-04a1ef0e2b3e,spend,-25,Purchased card back: Lys design,,Mon Sep 22 2025 14:01:37 GMT+0000 (Coordinated Universal Time)
f903ccce-1e93-4911-a754-c10db50872de,9990af8a-c389-4970-9dfa-04a1ef0e2b3e,spend,-25,Purchased card back: Jack Lion,,Mon Sep 22 2025 14:05:35 GMT+0000 (Coordinated Universal Time)